#This is a finding list from vkny
   5.6807 Si13  1  3 1.52E-01
   5.7391 Al13  2  4 1.93E-02
   5.7396 Al13  2  2 9.67E-03
   6.0000 Al12  1  3 3.20E-03
   6.0134 Al12  1  3 4.40E-03
   6.0322 Al12  1  3 6.31E-03
   6.0525 Al13  2  4 5.27E-02
   6.0537 Al13  2  2 2.63E-02
   6.0598 Al12  1  3 9.53E-03
   6.1028 Al12  1  3 1.54E-02
   6.1755 Al12  1  3 2.75E-02
   6.1804 Si14  2  4 2.77E-01
   6.1858 Si14  2  2 1.39E-01
   6.3139 Al12  1  3 5.67E-02
   6.3809 Mg12  2  2 5.35E-04
   6.3809 Mg12  2  4 1.07E-03
   6.3960 Mg12  2  2 7.38E-04
   6.3960 Mg12  2  4 1.48E-03
   6.4173 Mg12  2  2 1.06E-03
   6.4173 Mg12  2  4 2.12E-03
   6.4486 Mg12  2  2 1.60E-03
   6.4486 Mg12  2  4 3.21E-03
   6.4974 Mg12  2  4 5.20E-03
   6.4975 Mg12  2  2 2.60E-03
   6.5800 Mg12  2  4 9.30E-03
   6.5802 Mg12  2  2 4.65E-03
   6.6348 Al12  1  3 1.52E-01
   6.6480 Si13  1  3 7.57E-01
   6.7378 Mg12  2  4 1.93E-02
   6.7382 Mg12  2  2 9.67E-03
   6.7870 Fe24  2  2 6.91E-03
   6.7870 Fe24  2  4 1.39E-02
   7.1037 Mg11  1  3 3.19E-03
   7.1058 Mg12  2  4 5.27E-02
   7.1069 Mg12  2  2 2.63E-02
   7.1194 Mg11  1  3 4.40E-03
   7.1415 Mg11  1  3 6.31E-03
   7.1690 Fe24  2  2 1.32E-02
   7.1690 Fe24  2  4 2.66E-02
   7.1709 Al13  2  4 2.77E-01
   7.1741 Mg11  1  3 9.52E-03
   7.1763 Al13  2  2 1.39E-01
   7.2247 Mg11  1  3 1.53E-02
   7.3103 Mg11  1  3 2.73E-02
   7.4722 Fe23  1  3 7.33E-02
   7.4731 Mg11  1  3 5.65E-02
   7.5960 Na11  2  2 5.35E-04
   7.5960 Na11  2  4 1.07E-03
   7.6140 Na11  2  2 7.38E-04
   7.6140 Na11  2  4 1.48E-03
   7.6393 Na11  2  4 2.12E-03
   7.6394 Na11  2  2 1.06E-03
   7.6766 Na11  2  4 3.21E-03
   7.6767 Na11  2  2 1.60E-03
   7.7347 Na11  2  4 5.20E-03
   7.7349 Na11  2  2 2.60E-03
   7.7573 Al12  1  3 7.50E-01
