#Fluorescent yield data from Kaastra and Mewe 1993A&AS...97..443K
label    z  state  s   delta  il    E      omega
  143   12    1    1     2    9      65.4   0.0897
  144   12    1    1     0   12      46.3   0.0001
  145   12    1    1     1   12      50.0   0.0147
  146   12    1    1     2   12      65.1   0.1759
  147   12    1    2     1    9      50.3   0.3390
  148   12    1    2     1   12      50.0   0.6516
  149   12    1    3     0    9      46.6   0.0033
  150   12    1    4     0   12      46.3   0.0033
  151   12    2    1     0    1    1267.7   0.0114
  152   12    2    1     0    2    1267.9   0.0227
  153   12    2    1     1    5      38.4   0.0018
  154   12    2    1     2    5      35.1   0.0275
  155   12    2    1     1    6      38.7   0.0035
  156   12    2    1     2    6      35.1   0.0555
  157   12    2    1     0    9      50.3   0.0114
  158   12    2    1     1    9      65.4   0.1985
  159   12    2    1     0   12      50.0   0.0227
  160   12    2    1     1   12      65.1   0.3970
  161   12    2    2     0    6      39.0   0.0001
  162   12    2    2     0   12      50.0   0.0001
  163   12    2    3     0    9      50.3   1.0000
  164   12    2    4     0   12      50.0   1.0000
  165   12    3    1     0    1    1279.7   0.0115
  166   12    3    1     0    2    1280.0   0.0231
  167   12    3    1     1    5      35.1   0.1485
  168   12    3    1     1    6      35.1   0.2970
  169   12    3    2     0    5      38.4   0.3333
  170   12    3    2     0    6      38.7   0.6667
  171   12    4    1     0    1    1292.7   0.0155
  172   12    4    1     0    2    1292.7   0.0232
  173   12    4    1     1    5      30.7   0.2139
  174   12    4    1     1    6      30.7   0.3208
  175   12    4    2     0    5      35.1   0.4000
  176   12    4    2     0    6      35.1   0.6000
  177   12    5    1     0    1    1302.6   0.0218
  178   12    5    1     0    2    1302.6   0.0218
  179   12    5    1     1    5      14.6   0.3336
  180   12    5    1     1    6      14.6   0.3336
  181   12    5    2     0    5      30.7   0.5000
  182   12    5    2     0    6      30.7   0.5000
  183   12    6    1     0    1    1299.6   0.0332
  184   12    6    1     0    2    1299.6   0.0166
  185   12    6    1     1    5      16.0   0.5881
  186   12    6    1     1    6      54.5   0.2941
