#Fluorescent yield data from Kaastra and Mewe 1993A&AS...97..443K
label    z  state  s   delta  il    E      omega
 1703   20    1    1     6   22      96.9   0.0075
 1704   20    1    2     0    6      92.0   0.0001
 1705   20    1    2     0    7     412.6   0.0003
 1706   20    1    2     0    8     413.0   0.0006
 1707   20    1    2     1    9     311.6   0.0002
 1708   20    1    2     2    9     319.5   0.0001
 1709   20    1    2     1   12     308.0   0.0003
 1710   20    1    2     2   12     315.9   0.0002
 1711   20    1    2     2   16      18.5   0.0001
 1712   20    1    2     3   16      19.1   0.0011
 1713   20    1    2     4   16      19.3   0.0019
 1714   20    1    2     2   17      18.9   0.0001
 1715   20    1    2     3   17      19.1   0.0021
 1716   20    1    2     4   17      19.3   0.0039
 1717   20    1    2     1   19      26.5   0.0010
 1718   20    1    2     2   19      39.7   0.0166
 1719   20    1    2     3   19      55.4   0.1471
 1720   20    1    2     1   22      26.1   0.0020
 1721   20    1    2     2   22      39.3   0.0342
 1722   20    1    2     3   22      55.4   0.2973
 1723   20    1    3     0    9     306.6   0.0005
 1724   20    1    3     0   11     346.5   0.0001
 1725   20    1    3     2   16      18.5   0.0001
 1726   20    1    3     2   17      18.9   0.0002
 1727   20    1    3     1   19      26.5   0.0216
 1728   20    1    3     2   19      39.7   0.1177
 1729   20    1    3     1   22      26.1   0.0048
 1730   20    1    3     2   22      39.3   0.0887
 1731   20    1    4     0   12     303.0   0.0005
 1732   20    1    4     0   15     342.9   0.0001
 1733   20    1    4     2   16      18.5   0.0001
 1734   20    1    4     2   17      18.9   0.0002
 1735   20    1    4     1   19      26.5   0.0024
 1736   20    1    4     2   19      39.7   0.0449
 1737   20    1    4     1   22      26.1   0.0241
 1738   20    1    4     2   22      39.3   0.1642
 1739   20    1    5     1   19      26.5   0.3270
 1740   20    1    5     1   22      26.1   0.6541
 1741   20    1    6     0   19      22.3   0.0050
 1742   20    1    7     0   22      21.9   0.0050
 1743   20    2    1     0    1    3705.1   0.0414
 1744   20    2    1     0    2    3709.4   0.0828
 1745   20    2    1     0    3    4036.5   0.0047
 1746   20    2    1     0    4    4037.4   0.0093
 1747   20    2    1     1    7     426.4   0.0001
 1748   20    2    1     1    8     426.8   0.0002
 1749   20    2    1     2    8     433.7   0.0001
 1750   20    2    1     1    9     319.5   0.0001
 1751   20    2    1     2    9     326.2   0.0002
 1752   20    2    1     3    9     332.8   0.0002
 1753   20    2    1     4    9     338.7   0.0002
 1754   20    2    1     5    9     342.7   0.0001
 1755   20    2    1     1   12     315.9   0.0002
 1756   20    2    1     2   12     322.6   0.0003
 1757   20    2    1     3   12     329.2   0.0002
 1758   20    2    1     4   12     335.0   0.0002
 1759   20    2    1     5   12     339.0   0.0001
 1760   20    2    1     1   16      18.5   0.0001
 1761   20    2    1     2   16      19.1   0.0010
 1762   20    2    1     3   16      19.3   0.0037
 1763   20    2    1     4   16      14.2   0.0205
 1764   20    2    1     5   16      16.0   0.0232
 1765   20    2    1     6   16      17.7   0.0114
 1766   20    2    1     1   17      18.9   0.0001
 1767   20    2    1     2   17      19.1   0.0019
 1768   20    2    1     3   17      19.3   0.0074
 1769   20    2    1     4   17      14.2   0.0414
 1770   20    2    1     5   17      35.2   0.0465
 1771   20    2    1     6   17      56.5   0.0168
 1772   20    2    1     0   19      26.5   0.0047
 1773   20    2    1     1   19      39.7   0.0333
 1774   20    2    1     2   19      55.4   0.0231
 1775   20    2    1     3   19      72.6   0.0786
 1776   20    2    1     4   19      96.9   0.0120
 1777   20    2    1     5   19     116.1   0.0017
 1778   20    2    1     0   22      26.1   0.0093
 1779   20    2    1     1   22      39.3   0.0664
 1780   20    2    1     2   22      55.4   0.0459
 1781   20    2    1     3   22      72.6   0.1578
 1782   20    2    1     4   22      96.9   0.0252
 1783   20    2    1     5   22      96.9   0.0033
 1784   20    2    2     0    6      93.0   0.0001
 1785   20    2    2     0    7     420.6   0.0003
 1786   20    2    2     0    8     421.0   0.0006
 1787   20    2    2     1    9     319.5   0.0002
 1788   20    2    2     2    9     326.2   0.0001
 1789   20    2    2     1   12     315.9   0.0003
 1790   20    2    2     2   12     322.6   0.0001
 1791   20    2    2     1   16      18.5   0.0002
 1792   20    2    2     2   16      19.1   0.0032
 1793   20    2    2     3   16      19.3   0.0371
 1794   20    2    2     1   17      18.9   0.0004
 1795   20    2    2     2   17      19.1   0.0064
 1796   20    2    2     3   17      19.3   0.0745
 1797   20    2    2     0   19      26.5   0.0003
 1798   20    2    2     1   19      39.7   0.0004
 1799   20    2    2     2   19      55.4   0.1173

 1800   20    2    2     0   22      26.1   0.0006
 1801   20    2    2     1   22      39.3   0.0008
 1802   20    2    2     2   22      55.4   0.2491
 1803   20    2    3     0    9     311.6   0.0005
 1804   20    2    3     1   16      18.5   0.0004
 1805   20    2    3     2   16      19.1   0.0039
 1806   20    2    3     1   17      18.9   0.0008
 1807   20    2    3     2   17      19.1   0.0077
 1808   20    2    3     1   19      39.7   0.4547
 1809   20    2    3     1   22      39.3   0.3093
 1810   20    2    4     0   12     308.0   0.0005
 1811   20    2    4     1   16      18.5   0.0004
 1812   20    2    4     2   16      19.1   0.0039
 1813   20    2    4     1   17      18.9   0.0008
 1814   20    2    4     2   17      19.1   0.0077
 1815   20    2    4     1   19      39.7   0.1546
 1816   20    2    4     1   22      39.3   0.6064
 1817   20    2    5     0   17      20.0   0.0001
 1818   20    2    5     0   22      26.1   0.0001
 1819   20    2    6     0   19      26.5   1.0000
 1820   20    2    7     0   22      26.1   1.0000
 1821   20    3    1     0    1    3720.5   0.0415
 1822   20    3    1     0    2    3723.9   0.0830
 1823   20    3    1     0    3    4058.8   0.0047
 1824   20    3    1     0    4    4058.8   0.0094
 1825   20    3    1     1    7     433.7   0.0002
 1826   20    3    1     2    7     440.5   0.0001
 1827   20    3    1     3    7     439.2   0.0001
 1828   20    3    1     1    8     433.7   0.0003
 1829   20    3    1     2    8     440.5   0.0001
 1830   20    3    1     3    8     439.2   0.0001
 1831   20    3    1     1    9     326.2   0.0001
 1832   20    3    1     2    9     332.8   0.0002
 1833   20    3    1     3    9     338.7   0.0002
 1834   20    3    1     1   12     322.6   0.0002
 1835   20    3    1     2   12     329.2   0.0004
 1836   20    3    1     3   12     335.0   0.0002
 1837   20    3    1     4   12     339.0   0.0002
 1838   20    3    1     1   16      19.1   0.0114
 1839   20    3    1     2   16      19.3   0.0181
 1840   20    3    1     3   16      14.2   0.1011
 1841   20    3    1     4   16      16.0   0.0511
 1842   20    3    1     5   16      17.7   0.0215
 1843   20    3    1     1   17      19.1   0.0227
 1844   20    3    1     2   17      19.3   0.0363
 1845   20    3    1     3   17      14.2   0.2019
 1846   20    3    1     4   17      35.2   0.0888
 1847   20    3    1     5   17      56.5   0.0165
 1848   20    3    2     0    6      92.0   0.0001
 1849   20    3    2     0    7     426.4   0.0003
 1850   20    3    2     0    8     426.8   0.0006
 1851   20    3    2     1    9     326.2   0.0002
 1852   20    3    2     1   12     322.6   0.0004
 1853   20    3    2     1   16      19.1   0.0169
 1854   20    3    2     2   16      19.3   0.2161
 1855   20    3    2     1   17      19.1   0.0338
 1856   20    3    2     2   17      19.3   0.4299
 1857   20    3    3     0    9     319.5   0.0005
 1858   20    3    3     0   16      18.5   0.0002
 1859   20    3    3     1   16      19.1   0.0542
 1860   20    3    3     0   17      18.9   0.0004
 1861   20    3    3     1   17      19.1   0.1850
 1862   20    3    4     0   12     315.9   0.0005
 1863   20    3    4     0   16      18.5   0.0002
 1864   20    3    4     1   16      19.1   0.0937
 1865   20    3    4     0   17      18.9   0.0004
 1866   20    3    4     1   17      19.1   0.1484
 1867   20    3    5     0   16      18.5   0.3333
 1868   20    3    5     0   17      18.9   0.6667
 1869   20    4    1     0    1    3735.9   0.0425
 1870   20    4    1     0    2    3740.2   0.0850
 1871   20    4    1     0    3    4081.3   0.0048
 1872   20    4    1     0    4    4081.3   0.0072
 1873   20    4    1     2    5      86.4   0.0001
 1874   20    4    1     2    6      90.0   0.0002
 1875   20    4    1     1    7     440.5   0.0003
 1876   20    4    1     2    7     439.2   0.0009
 1877   20    4    1     3    7     443.0   0.0001
 1878   20    4    1     1    8     440.5   0.0004
 1879   20    4    1     2    8     439.2   0.0013
 1880   20    4    1     3    8     462.2   0.0001
 1881   20    4    1     1    9     332.8   0.0001
 1882   20    4    1     2    9     338.7   0.0002
 1883   20    4    1     3    9     342.7   0.0001
 1884   20    4    1     0   12     322.6   0.0001
 1885   20    4    1     1   12     329.2   0.0003
 1886   20    4    1     2   12     335.0   0.0008
 1887   20    4    1     3   12     339.0   0.0008
 1888   20    4    1     1   16      19.3   0.0168
 1889   20    4    1     2   16      14.2   0.0256
 1890   20    4    1     3   16      16.0   0.1885
 1891   20    4    1     4   16      17.7   0.1391
 1892   20    4    1     0   17      19.1   0.0001
 1893   20    4    1     1   17      19.3   0.0241
 1894   20    4    1     2   17      14.2   0.0357
 1895   20    4    1     3   17      35.2   0.2359
 1896   20    4    1     4   17      56.5   0.0735
 1897   20    4    2     0    5      88.4   0.0001
 1898   20    4    2     0    6      92.0   0.0001
 1899   20    4    2     0    7     433.7   0.0007
 1900   20    4    2     0    8     433.7   0.0010
 1901   20    4    2     1    9     332.8   0.0004
 1902   20    4    2     1   12     329.2   0.0008
 1903   20    4    2     1   16      19.3   0.0385
 1904   20    4    2     2   16      14.2   0.1453
 1905   20    4    2     1   17      19.3   0.0577
 1906   20    4    2     2   17      14.2   0.1943
 1907   20    4    3     0    9     326.2   0.0006
 1908   20    4    3     0   16      19.1   0.0003
 1909   20    4    3     1   16      19.3   0.0778
 1910   20    4    3     0   17      19.1   0.0004
 1911   20    4    3     1   17      19.3   0.2022
 1912   20    4    4     0   12     322.6   0.0008
 1913   20    4    4     0   16      19.1   0.0003
 1914   20    4    4     1   16      19.3   0.1410
 1915   20    4    4     0   17      19.1   0.0005
 1916   20    4    4     1   17      19.3   0.1546
 1917   20    4    5     0   16      19.1   0.4000
 1918   20    4    5     0   17      19.1   0.6000
 1919   20    5    1     0    1    3750.6   0.0436
 1920   20    5    1     0    2    3754.0   0.0871
 1921   20    5    1     0    3    4102.0   0.0049
 1922   20    5    1     0    4    4102.0   0.0049
 1923   20    5    1     1    5      86.4   0.0002
 1924   20    5    1     2    5      84.3   0.0004
 1925   20    5    1     1    6      90.0   0.0004
 1926   20    5    1     2    6      88.0   0.0008
 1927   20    5    1     1    7     439.2   0.0027
 1928   20    5    1     2    7     443.0   0.0045
 1929   20    5    1     1    8     439.2   0.0027
 1930   20    5    1     2    8     462.2   0.0044
 1931   20    5    1     1    9     338.7   0.0002
 1932   20    5    1     2    9     342.7   0.0003
 1933   20    5    1     0   12     329.2   0.0001
 1934   20    5    1     1   12     335.0   0.0006
 1935   20    5    1     2   12     339.0   0.0022
 1936   20    5    1     0   16      19.3   0.0001
 1937   20    5    1     1   16      14.2   0.0280
 1938   20    5    1     2   16      16.0   0.0664
 1939   20    5    1     3   16      17.7   0.4938
 1940   20    5    1     0   17      19.3   0.0001
 1941   20    5    1     1   17      14.2   0.0242
 1942   20    5    1     2   17      35.2   0.0581
 1943   20    5    1     3   17      56.5   0.3392
 1944   20    5    2     0    5      88.4   0.0001
 1945   20    5    2     0    6      92.0   0.0002
 1946   20    5    2     0    7     440.5   0.0014
 1947   20    5    2     0    8     440.5   0.0014
 1948   20    5    2     1   12     335.0   0.0026
 1949   20    5    2     1   16      14.2   0.0816
 1950   20    5    2     2   16      16.0   0.3382
 1951   20    5    2     1   17      14.2   0.0811
 1952   20    5    2     2   17      35.2   0.1185
 1953   20    5    3     0    9     332.8   0.0008
 1954   20    5    3     0   16      19.3   0.0004
 1955   20    5    3     1   16      14.2   0.1226
 1956   20    5    3     0   17      19.3   0.0004
 1957   20    5    3     1   17      14.2   0.2162
 1958   20    5    4     0   12     329.2   0.0015
 1959   20    5    4     0   16      19.3   0.0007
 1960   20    5    4     1   16      14.2   0.2360
 1961   20    5    4     0   17      19.3   0.0007
 1962   20    5    4     1   17      14.2   0.1456
 1963   20    5    5     0   16      19.3   0.5000
 1964   20    5    5     0   17      19.3   0.5000
 1965   20    6    1     0    1    3763.6   0.0447
 1966   20    6    1     0    2    3767.0   0.0893
 1967   20    6    1     0    3    4116.2   0.0050
 1968   20    6    1     0    4    4116.2   0.0025
 1969   20    6    1     1    5      84.3   0.0002
 1970   20    6    1     2    5      83.3   0.0008
 1971   20    6    1     1    6      88.0   0.0004
 1972   20    6    1     2    6      87.0   0.0017
 1973   20    6    1     1    7     443.0   0.0029
 1974   20    6    1     2    7     447.4   0.0088
 1975   20    6    1     1    8     462.2   0.0015
 1976   20    6    1     2    8     486.2   0.0043
 1977   20    6    1     1    9     342.7   0.0003
 1978   20    6    1     2    9     346.3   0.0004
 1979   20    6    1     0   12     335.0   0.0003
 1980   20    6    1     1   12     339.0   0.0014
 1981   20    6    1     2   12     342.7   0.0093
 1982   20    6    1     0   16      14.2   0.0002
 1983   20    6    1     1   16      16.0   0.0552
 1984   20    6    1     2   16      17.7   0.1173
 1985   20    6    1     3   16      41.2   0.3395
 1986   20    6    1     0   17      14.2   0.0001
 1987   20    6    1     1   17      35.2   0.0174
 1988   20    6    1     2   17      56.5   0.0362
 1989   20    6    1     3   17      80.0   0.0741
 1990   20    6    2     0    5      86.4   0.0010
 1991   20    6    2     0    6      90.0   0.0020
 1992   20    6    2     0    7     439.2   0.0123
 1993   20    6    2     0    8     439.2   0.0062
 1994   20    6    2     1   16      16.0   0.8155
 1995   20    6    2     1   17      35.2   0.4075
 1996   20    6    3     0    9     338.7   0.0010
 1997   20    6    3     0   16      14.2   0.0007
 1998   20    6    3     1   16      16.0   0.2264
 1999   20    6    3     0   17      14.2   0.0003

 2000   20    6    3     1   17      35.2   0.2039
 2001   20    6    4     0   12     335.0   0.0035
 2002   20    6    4     0   16      14.2   0.0023
 2003   20    6    4     1   16      16.0   0.4732
 2004   20    6    4     0   17      14.2   0.0012
 2005   20    6    4     1   17      35.2   0.0777
 2006   20    6    5     0   16      14.2   0.6667
 2007   20    6    5     0   17      14.2   0.3333
 2008   20    7    1     0    1    3777.5   0.0458
 2009   20    7    1     0    2    3780.9   0.0916
 2010   20    7    1     0    3    4136.2   0.0052
 2011   20    7    1     1    5      83.3   0.0003
 2012   20    7    1     2    5      82.3   0.0014
 2013   20    7    1     1    6      87.0   0.0006
 2014   20    7    1     2    6      86.0   0.0028
 2015   20    7    1     1    7     447.4   0.0044
 2016   20    7    1     2    7     472.4   0.0139
 2017   20    7    1     0    9     342.7   0.0001
 2018   20    7    1     1    9     346.3   0.0005
 2019   20    7    1     2    9     348.9   0.0006
 2020   20    7    1     0   12     339.0   0.0020
 2021   20    7    1     1   12     342.7   0.0065
 2022   20    7    1     2   12     345.2   0.0421
 2023   20    7    1     0   16      16.0   0.0021
 2024   20    7    1     1   16      17.7   0.1547
 2025   20    7    1     2   16      41.2   0.1105
 2026   20    7    2     0    5      84.3   0.0013
 2027   20    7    2     0    6      88.0   0.0026
 2028   20    7    2     0    7     443.0   0.0163
 2029   20    7    2     0   12     339.0   0.0001
 2030   20    7    2     0   16      16.0   0.0001
 2031   20    7    2     1   16      17.7   1.3065
 2032   20    7    3     0    9     342.7   0.0014
 2033   20    7    3     0   16      16.0   0.0014
 2034   20    7    3     1   16      17.7   0.5932
 2035   20    7    4     0   12     339.0   0.0223
 2036   20    7    4     0   16      16.0   0.0223
 2037   20    7    4     1   16      17.7   1.3266
 2038   20    7    5     0   16      16.0   1.0000
 2039   20    8    1     0    1    3791.4   0.0470
 2040   20    8    1     0    2    3794.9   0.0939
 2041   20    8    1     0    3    4155.3   0.0026
 2042   20    8    1     1    5      82.3   0.0006
 2043   20    8    1     2    5      81.3   0.0213
 2044   20    8    1     1    6      86.0   0.0011
 2045   20    8    1     2    6      85.0   0.0426
 2046   20    8    1     1    7     472.4   0.0037
 2047   20    8    1     2    7     497.4   0.0265
 2048   20    8    1     0    9     346.3   0.0002
 2049   20    8    1     1    9     348.9   0.0016
 2050   20    8    1     2    9     352.4   0.1204
 2051   20    8    1     0   12     342.7   0.0031
 2052   20    8    1     1   12     345.2   0.0112
 2053   20    8    1     2   12     348.7   0.6359
 2054   20    8    1     0   16      17.7   0.0033
 2055   20    8    1     1   16      41.2   0.0764
 2056   20    8    1     2   16      63.7   0.3005
 2057   20    8    2     0    5      83.3   0.0019
 2058   20    8    2     0    6      87.0   0.0039
 2059   20    8    2     0    7     447.4   0.0123
 2060   20    8    2     0   12     342.7   0.0001
 2061   20    8    2     0   16      17.7   0.0001
 2062   20    8    2     1   16      41.2   0.5142
 2063   20    8    3     0    9     346.3   0.0047
 2064   20    8    3     0   16      17.7   0.0047
 2065   20    8    3     1   16      41.2   0.1047
 2066   20    8    4     0   12     342.7   0.0326
 2067   20    8    4     0   16      17.7   0.0326
 2068   20    8    4     1   16      41.2   0.7197
 2069   20    8    5     0   16      17.7   1.0000
 2070   20    9    1     0    1    3804.5   0.0482
 2071   20    9    1     0    2    3808.0   0.0963
 2072   20    9    1     1    5      81.3   0.0062
 2073   20    9    1     2    5      84.1   0.0267
 2074   20    9    1     1    6      85.0   0.0125
 2075   20    9    1     2    6      87.8   0.0533
 2076   20    9    1     0    9     348.9   0.0021
 2077   20    9    1     1    9     352.4   0.0292
 2078   20    9    1     0   12     345.2   0.0042
 2079   20    9    1     1   12     348.7   0.0583
 2080   20    9    2     0    5      82.3   0.0038
 2081   20    9    2     0    6      86.0   0.0075
 2082   20    9    2     0    9     348.9   0.0002
 2083   20    9    2     0   12     345.2   0.0003
 2084   20    9    3     0    9     348.9   0.0433
 2085   20    9    4     0   12     345.2   0.0433
 2086   20   10    1     0    1    3815.9   0.0492
 2087   20   10    1     0    2    3820.3   0.0983
 2088   20   10    1     1    5      84.1   0.1175
 2089   20   10    1     1    6      87.8   0.2350
 2090   20   10    1     0    9     352.4   0.0492
 2091   20   10    1     1    9     384.3   0.2775
 2092   20   10    1     0   12     348.7   0.0983
 2093   20   10    1     1   12     380.6   0.5551
 2094   20   10    2     0    5      81.3   0.3333
 2095   20   10    2     0    6      85.0   0.6667
 2096   20   10    2     0    9     352.4   0.3333
 2097   20   10    2     0   12     348.7   0.6667
 2098   20   10    3     0    9     352.4   1.0000
 2099   20   10    4     0   12     348.7   1.0000
 2100   20   11    1     0    1    3824.7   0.0502
 2101   20   11    1     0    2    3828.2   0.1003
 2102   20   11    1     1    5      76.6   0.1172
 2103   20   11    1     1    6      76.6   0.2345
 2104   20   11    2     0    5      84.1   0.3333
 2105   20   11    2     0    6      87.8   0.6667
 2106   20   12    1     0    1    3837.1   0.0669
 2107   20   12    1     0    2    3837.1   0.1003
 2108   20   12    1     1    5      63.8   0.1676
 2109   20   12    1     1    6      63.8   0.2515
 2110   20   12    2     0    5      76.6   0.4000
 2111   20   12    2     0    6      76.6   0.6000
 2112   20   13    1     0    1    3842.4   0.0939
 2113   20   13    1     0    2    3842.4   0.0939
 2114   20   13    1     1    5      29.1   0.2595
 2115   20   13    1     1    6      29.1   0.2595
 2116   20   13    2     0    5      63.8   0.5000
 2117   20   13    2     0    6      63.8   0.5000
 2118   20   14    1     0    1    3826.5   0.1427
 2119   20   14    1     0    2    3826.5   0.0713
 2120   20   14    1     1    5      30.6   0.4551
 2121   20   14    1     1    6     107.5   0.2275
 2122   20   14    2     0    5      29.1   0.6667
 2123   20   14    2     0    6      29.1   0.3333
 2124   20   15    1     0    1    3824.7   0.2478
 2125   20   15    1     1    5      32.0   1.0015
 2126   20   15    2     0    5      30.6   1.0000
 2127   20   16    1     0    1    3818.6   0.1984
 2128   20   16    1     1    5     113.0   0.5072
 2129   20   16    2     0    5      32.0   1.0000
 2130   21    1    1     0    1    4086.0   0.0566
 2131   21    1    1     0    2    4090.7   0.1131
 2132   21    1    1     0    3    4460.7   0.0068
 2133   21    1    1     0    4    4460.7   0.0135
 2134   21    1    1     1    7     476.5   0.0001
 2135   21    1    1     1    8     477.0   0.0002
 2136   21    1    1     1    9     359.7   0.0001
 2137   21    1    1     2    9     365.7   0.0001
 2138   21    1    1     3    9     374.1   0.0001
 2139   21    1    1     4    9     381.0   0.0001
 2140   21    1    1     0   12     348.0   0.0001
 2141   21    1    1     1   12     355.0   0.0002
 2142   21    1    1     2   12     361.0   0.0003
 2143   21    1    1     3   12     369.4   0.0002
 2144   21    1    1     4   12     376.3   0.0001
 2145   21    1    1     5   12     383.3   0.0001
 2146   21    1    1     3   16      21.2   0.0001
 2147   21    1    1     4   16      21.8   0.0012
 2148   21    1    1     5   16      21.7   0.0065
 2149   21    1    1     6   16      16.0   0.0085
 2150   21    1    1     7   16      17.8   0.0044
 2151   21    1    1     3   17      21.7   0.0001
 2152   21    1    1     4   17      21.8   0.0022
 2153   21    1    1     5   17      21.7   0.0112
 2154   21    1    1     6   17      16.0   0.0132
 2155   21    1    1     7   17      38.8   0.0055
 2156   21    1    1     2   18      34.8   0.0005
 2157   21    1    1     3   18      49.7   0.0016
 2158   21    1    1     4   18      67.1   0.0081
 2159   21    1    1     5   18      86.2   0.0182
 2160   21    1    1     6   18     113.2   0.0115
 2161   21    1    1     7   18     134.2   0.0027
 2162   21    1    1     2   19      46.7   0.0205
 2163   21    1    1     3   19      61.6   0.0157
 2164   21    1    1     4   19      79.1   0.0595
 2165   21    1    1     5   19      98.2   0.0134
 2166   21    1    1     6   19     125.2   0.0027
 2167   21    1    1     2   20      34.2   0.0017
 2168   21    1    1     3   20      49.1   0.0017
 2169   21    1    1     4   20      67.1   0.0059
 2170   21    1    1     5   20      86.2   0.0101
 2171   21    1    1     6   20     113.2   0.0051
 2172   21    1    1     7   20     113.2   0.0008
 2173   21    1    1     1   22      33.2   0.0001
 2174   21    1    1     2   22      46.2   0.1044
 2175   21    1    1     3   22      61.1   0.0580
 2176   21    1    1     4   22      79.1   0.1754
 2177   21    1    1     5   22      98.2   0.0320
 2178   21    1    1     6   22     125.2   0.0058
 2179   21    1    2     0    6     100.0   0.0001
 2180   21    1    2     0    7     469.5   0.0004
 2181   21    1    2     0    8     470.0   0.0009
 2182   21    1    2     1    9     359.7   0.0001
 2183   21    1    2     2    9     365.7   0.0001
 2184   21    1    2     1   12     355.0   0.0003
 2185   21    1    2     2   12     361.0   0.0002
 2186   21    1    2     3   16      21.2   0.0004
 2187   21    1    2     4   16      21.8   0.0029
 2188   21    1    2     3   17      21.7   0.0009
 2189   21    1    2     4   17      21.8   0.0055
 2190   21    1    2     2   18      34.8   0.0002
 2191   21    1    2     3   18      49.7   0.0061
 2192   21    1    2     4   18      67.1   0.0172
 2193   21    1    2     2   19      46.7   0.0035
 2194   21    1    2     3   19      61.6   0.0786
 2195   21    1    2     4   19      79.1   0.0165
 2196   21    1    2     2   20      34.2   0.0005
 2197   21    1    2     3   20      49.1   0.0076
 2198   21    1    2     4   20      67.1   0.0123
 2199   21    1    2     2   22      46.2   0.0082

 2200   21    1    2     3   22      61.1   0.2523
 2201   21    1    2     4   22      79.1   0.0392
 2202   21    1    3     0    9     352.7   0.0006
 2203   21    1    3     0   10     399.7   0.0002
 2204   21    1    3     0   11     401.1   0.0001
 2205   21    1    3     2   17      23.0   0.0001
 2206   21    1    3     1   18      32.5   0.0001
 2207   21    1    3     2   18      34.8   0.0042
 2208   21    1    3     3   18      49.7   0.0016
 2209   21    1    3     1   19      33.7   0.0003
 2210   21    1    3     2   19      46.7   0.2415
 2211   21    1    3     3   19      61.6   0.0017
 2212   21    1    3     2   20      34.2   0.0029
 2213   21    1    3     3   20      49.1   0.0016
 2214   21    1    3     1   22      33.2   0.0003
 2215   21    1    3     2   22      46.2   0.4497
 2216   21    1    3     3   22      61.1   0.0047
 2217   21    1    4     0   12     348.0   0.0006
 2218   21    1    4     0   15     396.5   0.0001
 2219   21    1    4     2   17      23.0   0.0001
 2220   21    1    4     2   18      34.8   0.0014
 2221   21    1    4     3   18      49.7   0.0017
 2222   21    1    4     2   19      46.7   0.0525
 2223   21    1    4     3   19      61.6   0.0018
 2224   21    1    4     1   20      32.0   0.0001
 2225   21    1    4     2   20      34.2   0.0127
 2226   21    1    4     3   20      49.1   0.0016
 2227   21    1    4     1   22      33.2   0.0005
 2228   21    1    4     2   22      46.2   0.6526
 2229   21    1    4     3   22      61.1   0.0049
 2230   21    1    5     1   19      33.7   0.0008
 2231   21    1    5     1   20      32.0   0.0001
 2232   21    1    5     1   22      33.2   0.0036
 2233   21    1    6     0   18      25.5   0.0002
 2234   21    1    7     0   20      25.0   0.0002
 2235   21    1    7     0   22      26.5   0.0002
 2236   21    2    1     0    1    4102.0   0.0567
 2237   21    2    1     0    2    4106.8   0.1133
 2238   21    2    1     0    3    4483.3   0.0068
 2239   21    2    1     0    4    4484.4   0.0136
 2240   21    2    1     1    7     483.5   0.0001
 2241   21    2    1     1    8     483.9   0.0002
 2242   21    2    1     2    8     490.1   0.0001
 2243   21    2    1     1    9     365.7   0.0001
 2244   21    2    1     2    9     374.1   0.0001
 2245   21    2    1     3    9     381.0   0.0001
 2246   21    2    1     4    9     388.0   0.0001
 2247   21    2    1     0   12     355.0   0.0001
 2248   21    2    1     1   12     361.0   0.0002
 2249   21    2    1     2   12     369.4   0.0003
 2250   21    2    1     3   12     376.3   0.0002
 2251   21    2    1     4   12     383.3   0.0001
 2252   21    2    1     1   16      22.5   0.0001
 2253   21    2    1     2   16      21.2   0.0011
 2254   21    2    1     3   16      21.8   0.0051
 2255   21    2    1     4   16      21.7   0.0315
 2256   21    2    1     5   16      16.0   0.0231
 2257   21    2    1     6   16      17.8   0.0074
 2258   21    2    1     1   17      23.0   0.0002
 2259   21    2    1     2   17      21.7   0.0022
 2260   21    2    1     3   17      21.8   0.0092
 2261   21    2    1     4   17      21.7   0.0535
 2262   21    2    1     5   17      16.0   0.0354
 2263   21    2    1     6   17      38.8   0.0100
 2264   21    2    1     1   18      34.8   0.0007
 2265   21    2    1     2   18      49.7   0.0187
 2266   21    2    1     3   18      67.1   0.0270
 2267   21    2    1     4   18      86.2   0.0956
 2268   21    2    1     5   18     113.2   0.0383
 2269   21    2    1     6   18     134.2   0.0049
 2270   21    2    1     1   19      46.7   0.0028
 2271   21    2    1     2   19      61.6   0.0022
 2272   21    2    1     3   19      79.1   0.0155
 2273   21    2    1     4   19      98.2   0.0059
 2274   21    2    1     5   19     125.2   0.0014
 2275   21    2    1     1   20      34.2   0.0014
 2276   21    2    1     2   20      49.1   0.0184
 2277   21    2    1     3   20      67.1   0.0181
 2278   21    2    1     4   20      86.2   0.0515
 2279   21    2    1     5   20     113.2   0.0180
 2280   21    2    1     6   20     113.2   0.0020
 2281   21    2    1     1   22      46.2   0.0099
 2282   21    2    1     2   22      61.1   0.0060
 2283   21    2    1     3   22      79.1   0.0371
 2284   21    2    1     4   22      98.2   0.0126
 2285   21    2    1     5   22     125.2   0.0029
 2286   21    2    2     0    6     100.0   0.0001
 2287   21    2    2     0    7     476.5   0.0004
 2288   21    2    2     0    8     477.0   0.0009
 2289   21    2    2     1    9     365.7   0.0001
 2290   21    2    2     2    9     374.1   0.0001
 2291   21    2    2     1   12     361.0   0.0003
 2292   21    2    2     2   12     369.4   0.0002
 2293   21    2    2     1   16      22.5   0.0002
 2294   21    2    2     2   16      21.2   0.0030
 2295   21    2    2     3   16      21.8   0.0440
 2296   21    2    2     1   17      23.0   0.0004
 2297   21    2    2     2   17      21.7   0.0058
 2298   21    2    2     3   17      21.8   0.0828
 2299   21    2    2     1   18      34.8   0.0008
 2300   21    2    2     2   18      49.7   0.0234
 2301   21    2    2     3   18      67.1   0.2419
 2302   21    2    2     1   19      46.7   0.0001
 2303   21    2    2     2   19      61.6   0.0442
 2304   21    2    2     1   20      34.2   0.0015
 2305   21    2    2     2   20      49.1   0.0233
 2306   21    2    2     3   20      67.1   0.1690
