 ============================================================
      i NZ NE iSLP jSLP iLV jLV        gF     WL(A)   gi   gj
     85  1  1  211  200   9   5  4.55E-02 3.039E+04  6.0  2.0
     86  1  1  211  200   9   6  8.20E-02 5.129E+04  6.0  2.0
     87  1  1  211  200   9   7  1.64E-01 8.760E+04  6.0  2.0
     88  1  1  211  200   9   8  4.10E-01 1.621E+05  6.0  2.0
     89  1  1  211  200   9   9  1.75E+00 3.887E+05  6.0  2.0
     90  1  1  211  200   9  10  0.00E+00 1.000E+30  6.0  2.0
     91  1  1  211  200   1   1  8.32E-01 1.216E+03  6.0  2.0
     92  1  1  211  200   1   2  0.00E+00 1.000E+30  6.0  2.0
     93  1  1  211  200   1   3 -8.15E-02 6.565E+03  6.0  2.0
     94  1  1  211  200   1   4 -1.83E-02 4.863E+03  6.0  2.0
     95  1  1  211  200   1   5 -7.28E-03 4.342E+03  6.0  2.0
     96  1  1  211  200   1   6 -3.71E-03 4.103E+03  6.0  2.0
     97  1  1  211  200   1   7 -2.17E-03 3.971E+03  6.0  2.0
     98  1  1  211  200   1   8 -1.38E-03 3.890E+03  6.0  2.0
     99  1  1  211  200   1   9 -9.42E-04 3.837E+03  6.0  2.0
    100  1  1  211  200   1  10 -6.71E-04 3.799E+03  6.0  2.0
    101  1  1  211  200   2   1  1.58E-01 1.026E+03  6.0  2.0
    102  1  1  211  200   2   2  8.70E-01 6.565E+03  6.0  2.0
    103  1  1  211  200   2   3  0.00E+00 1.000E+30  6.0  2.0
    104  1  1  211  200   2   4 -1.93E-01 1.876E+04  6.0  2.0
    105  1  1  211  200   2   5 -4.46E-02 1.282E+04  6.0  2.0
    106  1  1  211  200   2   6 -1.82E-02 1.094E+04  6.0  2.0
    107  1  1  211  200   2   7 -9.47E-03 1.005E+04  6.0  2.0
    108  1  1  211  200   2   8 -5.65E-03 9.549E+03  6.0  2.0
    109  1  1  211  200   2   9 -3.67E-03 9.232E+03  6.0  2.0
    110  1  1  211  200   2  10 -2.54E-03 9.017E+03  6.0  2.0
    111  1  1  211  200   3   1  5.80E-02 9.725E+02  6.0  2.0
    112  1  1  211  200   3   2  2.06E-01 4.863E+03  6.0  2.0
    113  1  1  211  200   3   3  9.69E-01 1.876E+04  6.0  2.0
    114  1  1  211  200   3   4  0.00E+00 1.000E+30  6.0  2.0
    115  1  1  211  200   3   5 -3.17E-01 4.052E+04  6.0  2.0
    116  1  1  211  200   3   6 -7.40E-02 2.626E+04  6.0  2.0
    117  1  1  211  200   3   7 -3.06E-02 2.166E+04  6.0  2.0
    118  1  1  211  200   3   8 -1.61E-02 1.945E+04  6.0  2.0
    119  1  1  211  200   3   9 -9.70E-03 1.818E+04  6.0  2.0
    120  1  1  211  200   3  10 -6.37E-03 1.737E+04  6.0  2.0
    121  1  1  211  200   4   1  2.79E-02 9.498E+02  6.0  2.0
    122  1  1  211  200   4   2  8.39E-02 4.342E+03  6.0  2.0
    123  1  1  211  200   4   3  2.42E-01 1.282E+04  6.0  2.0
    124  1  1  211  200   4   4  1.09E+00 4.052E+04  6.0  2.0
    125  1  1  211  200   4   5  0.00E+00 1.000E+30  6.0  2.0
    126  1  1  211  200   4   6 -4.47E-01 7.460E+04  6.0  2.0
    127  1  1  211  200   4   7 -1.05E-01 4.654E+04  6.0  2.0
    128  1  1  211  200   4   8 -4.36E-02 3.741E+04  6.0  2.0
    129  1  1  211  200   4   9 -2.31E-02 3.297E+04  6.0  2.0
    130  1  1  211  200   4  10 -1.40E-02 3.039E+04  6.0  2.0
    131  1  1  211  200   5   1  1.56E-02 9.378E+02  6.0  2.0
    132  1  1  211  200   5   2  4.33E-02 4.103E+03  6.0  2.0
    133  1  1  211  200   5   3  1.03E-01 1.094E+04  6.0  2.0
    134  1  1  211  200   5   4  2.76E-01 2.626E+04  6.0  2.0
    135  1  1  211  200   5   5  1.22E+00 7.460E+04  6.0  2.0
    136  1  1  211  200   5   6  0.00E+00 1.000E+30  6.0  2.0
    137  1  1  211  200   5   7 -5.80E-01 1.237E+05  6.0  2.0
    138  1  1  211  200   5   8 -1.37E-01 7.502E+04  6.0  2.0
    139  1  1  211  200   5   9 -5.70E-02 5.908E+04  6.0  2.0
    140  1  1  211  200   5  10 -3.03E-02 5.129E+04  6.0  2.0
    141  1  1  211  200   6   1  9.63E-03 9.308E+02  6.0  2.0
    142  1  1  211  200   6   2  2.55E-02 3.971E+03  6.0  2.0
    143  1  1  211  200   6   3  5.47E-02 1.005E+04  6.0  2.0
    144  1  1  211  200   6   4  1.19E-01 2.166E+04  6.0  2.0
    145  1  1  211  200   6   5  3.10E-01 4.654E+04  6.0  2.0
    146  1  1  211  200   6   6  1.35E+00 1.237E+05  6.0  2.0
    147  1  1  211  200   6   7  0.00E+00 1.000E+30  6.0  2.0
    148  1  1  211  200   6   8 -7.15E-01 1.906E+05  6.0  2.0
    149  1  1  211  200   6   9 -1.69E-01 1.131E+05  6.0  2.0
    150  1  1  211  200   6  10 -7.06E-02 8.760E+04  6.0  2.0
    151  1  1  211  200   7   1  6.37E-03 9.262E+02  6.0  2.0
    152  1  1  211  200   7   2  1.64E-02 3.890E+03  6.0  2.0
    153  1  1  211  200   7   3  3.31E-02 9.549E+03  6.0  2.0
    154  1  1  211  200   7   4  6.45E-02 1.945E+04  6.0  2.0
    155  1  1  211  200   7   5  1.35E-01 3.741E+04  6.0  2.0
    156  1  1  211  200   7   6  3.43E-01 7.502E+04  6.0  2.0
    157  1  1  211  200   7   7  1.48E+00 1.906E+05  6.0  2.0
    158  1  1  211  200   7   8  0.00E+00 1.000E+30  6.0  2.0
    159  1  1  211  200   7   9 -8.52E-01 2.780E+05  6.0  2.0
