 ============================================================
      i NZ NE iSLP jSLP iLV jLV        gF     WL(A)   gi   gj
    369  1  1  231  220   6   5  2.10E+00 1.131E+05 14.0 10.0
    370  1  1  231  220   6   6  8.56E+00 2.780E+05 14.0 10.0
    371  1  1  231  220   6   7  0.00E+00 1.000E+30 14.0 10.0
    372  1  1  231  220   6   8 -1.51E+00 3.887E+05 14.0 10.0
    373  1  1  231  220   7   1  6.08E-02 9.017E+03 14.0 10.0
    374  1  1  231  220   7   2  1.39E-01 1.737E+04 14.0 10.0
    375  1  1  231  220   7   3  2.55E-01 3.039E+04 14.0 10.0
    376  1  1  231  220   7   4  4.62E-01 5.129E+04 14.0 10.0
    377  1  1  231  220   7   5  9.05E-01 8.760E+04 14.0 10.0
    378  1  1  231  220   7   6  2.17E+00 1.621E+05 14.0 10.0
    379  1  1  231  220   7   7  8.79E+00 3.887E+05 14.0 10.0
    380  1  1  231  220   7   8  0.00E+00 1.000E+30 14.0 10.0
    381  1  1  231  220   1   1  1.02E+01 1.876E+04 14.0 10.0
    382  1  1  231  220   1   2  0.00E+00 1.000E+30 14.0 10.0
    383  1  1  231  220   1   3 -1.24E-01 4.052E+04 14.0 10.0
    384  1  1  231  220   1   4 -2.22E-02 2.626E+04 14.0 10.0
    385  1  1  231  220   1   5 -7.90E-03 2.166E+04 14.0 10.0
    386  1  1  231  220   1   6 -3.80E-03 1.945E+04 14.0 10.0
    387  1  1  231  220   1   7 -2.16E-03 1.818E+04 14.0 10.0
    388  1  1  231  220   1   8 -1.36E-03 1.737E+04 14.0 10.0
    389  1  1  231  220   2   1  1.57E+00 1.282E+04 14.0 10.0
    390  1  1  231  220   2   2  8.90E+00 4.052E+04 14.0 10.0
    391  1  1  231  220   2   3  0.00E+00 1.000E+30 14.0 10.0
    392  1  1  231  220   2   4 -3.26E-01 7.460E+04 14.0 10.0
    393  1  1  231  220   2   5 -6.20E-02 4.654E+04 14.0 10.0
    394  1  1  231  220   2   6 -2.28E-02 3.741E+04 14.0 10.0
    395  1  1  231  220   2   7 -1.12E-02 3.297E+04 14.0 10.0
    396  1  1  231  220   2   8 -6.42E-03 3.039E+04 14.0 10.0
    397  1  1  231  220   3   1  5.39E-01 1.094E+04 14.0 10.0
    398  1  1  231  220   3   2  1.86E+00 2.626E+04 14.0 10.0
    399  1  1  231  220   3   3  8.44E+00 7.460E+04 14.0 10.0
    400  1  1  231  220   3   4  0.00E+00 1.000E+30 14.0 10.0
    401  1  1  231  220   3   5 -5.79E-01 1.237E+05 14.0 10.0
    402  1  1  231  220   3   6 -1.15E-01 7.502E+04 14.0 10.0
    403  1  1  231  220   3   7 -4.31E-02 5.908E+04 14.0 10.0
    404  1  1  231  220   3   8 -2.14E-02 5.129E+04 14.0 10.0
    405  1  1  231  220   4   1  2.56E-01 1.005E+04 14.0 10.0
    406  1  1  231  220   4   2  7.23E-01 2.166E+04 14.0 10.0
    407  1  1  231  220   4   3  1.97E+00 4.654E+04 14.0 10.0
    408  1  1  231  220   4   4  8.33E+00 1.237E+05 14.0 10.0
    409  1  1  231  220   4   5  0.00E+00 1.000E+30 14.0 10.0
    410  1  1  231  220   4   6 -8.67E-01 1.906E+05 14.0 10.0
    411  1  1  231  220   4   7 -1.77E-01 1.131E+05 14.0 10.0
    412  1  1  231  220   4   8 -6.75E-02 8.760E+04 14.0 10.0
    413  1  1  231  220   5   1  1.44E-01 9.549E+03 14.0 10.0
    414  1  1  231  220   5   2  3.66E-01 1.945E+04 14.0 10.0
    415  1  1  231  220   5   3  8.08E-01 3.741E+04 14.0 10.0
    416  1  1  231  220   5   4  2.04E+00 7.502E+04 14.0 10.0
    417  1  1  231  220   5   5  8.39E+00 1.906E+05 14.0 10.0
    418  1  1  231  220   5   6  0.00E+00 1.000E+30 14.0 10.0
    419  1  1  231  220   5   7 -1.18E+00 2.780E+05 14.0 10.0
    420  1  1  231  220   5   8 -2.46E-01 1.621E+05 14.0 10.0
    421  1  1  231  220   6   1  9.03E-02 9.232E+03 14.0 10.0
    422  1  1  231  220   6   2  2.15E-01 1.818E+04 14.0 10.0
    423  1  1  231  220   6   3  4.24E-01 3.297E+04 14.0 10.0
    424  1  1  231  220   6   4  8.62E-01 5.908E+04 14.0 10.0
    425  1  1  231  220   6   5  2.10E+00 1.131E+05 14.0 10.0
    426  1  1  231  220   6   6  8.56E+00 2.780E+05 14.0 10.0
    427  1  1  231  220   6   7  0.00E+00 1.000E+30 14.0 10.0
    428  1  1  231  220   6   8 -1.51E+00 3.887E+05 14.0 10.0
    429  1  1  231  220   7   1  6.08E-02 9.017E+03 14.0 10.0
    430  1  1  231  220   7   2  1.39E-01 1.737E+04 14.0 10.0
    431  1  1  231  220   7   3  2.55E-01 3.039E+04 14.0 10.0
    432  1  1  231  220   7   4  4.62E-01 5.129E+04 14.0 10.0
    433  1  1  231  220   7   5  9.05E-01 8.760E+04 14.0 10.0
    434  1  1  231  220   7   6  2.17E+00 1.621E+05 14.0 10.0
    435  1  1  231  220   7   7  8.79E+00 3.887E+05 14.0 10.0
    436  1  1  231  220   7   8  0.00E+00 1.000E+30 14.0 10.0
    437  1  1  240  231   1   1  1.88E+01 4.052E+04 18.0 14.0
    438  1  1  240  231   1   2  0.00E+00 1.000E+30 18.0 14.0
    439  1  1  240  231   1   3 -1.33E-01 7.460E+04 18.0 14.0
    440  1  1  240  231   1   4 -2.11E-02 4.654E+04 18.0 14.0
    441  1  1  240  231   1   5 -7.01E-03 3.741E+04 18.0 14.0
    442  1  1  240  231   1   6 -3.22E-03 3.297E+04 18.0 14.0
    443  1  1  240  231   1   7 -1.77E-03 3.039E+04 18.0 14.0
    444  1  1  240  231   2   1  2.55E+00 2.626E+04 18.0 14.0
    445  1  1  240  231   2   2  1.66E+01 7.460E+04 18.0 14.0
    446  1  1  240  231   2   3  0.00E+00 1.000E+30 18.0 14.0
    447  1  1  240  231   2   4 -3.56E-01 1.237E+05 18.0 14.0
    448  1  1  240  231   2   5 -6.18E-02 7.502E+04 18.0 14.0
    449  1  1  240  231   2   6 -2.14E-02 5.908E+04 18.0 14.0
    450  1  1  240  231   2   7 -1.01E-02 5.129E+04 18.0 14.0
    451  1  1  240  231   3   1  8.17E-01 2.166E+04 18.0 14.0
    452  1  1  240  231   3   2  3.20E+00 4.654E+04 18.0 14.0
    453  1  1  240  231   3   3  1.55E+01 1.237E+05 18.0 14.0
    454  1  1  240  231   3   4  0.00E+00 1.000E+30 18.0 14.0
    455  1  1  240  231   3   5 -6.46E-01 1.906E+05 18.0 14.0
    456  1  1  240  231   3   6 -1.18E-01 1.131E+05 18.0 14.0
    457  1  1  240  231   3   7 -4.22E-02 8.760E+04 18.0 14.0
    458  1  1  240  231   4   1  3.72E-01 1.945E+04 18.0 14.0
    459  1  1  240  231   4   2  1.18E+00 3.741E+04 18.0 14.0
    460  1  1  240  231   4   3  3.43E+00 7.502E+04 18.0 14.0
    461  1  1  240  231   4   4  1.51E+01 1.906E+05 18.0 14.0
    462  1  1  240  231   4   5  0.00E+00 1.000E+30 18.0 14.0
    463  1  1  240  231   4   6 -9.83E-01 2.780E+05 18.0 14.0
    464  1  1  240  231   4   7 -1.88E-01 1.621E+05 18.0 14.0
    465  1  1  240  231   5   1  2.04E-01 1.818E+04 18.0 14.0
    466  1  1  240  231   5   2  5.81E-01 3.297E+04 18.0 14.0
    467  1  1  240  231   5   3  1.36E+00 5.908E+04 18.0 14.0
    468  1  1  240  231   5   4  3.55E+00 1.131E+05 18.0 14.0
    469  1  1  240  231   5   5  1.49E+01 2.780E+05 18.0 14.0
    470  1  1  240  231   5   6  0.00E+00 1.000E+30 18.0 14.0
    471  1  1  240  231   5   7 -1.36E+00 3.887E+05 18.0 14.0
    472  1  1  240  231   6   1  1.26E-01 1.737E+04 18.0 14.0
    473  1  1  240  231   6   2  3.34E-01 3.039E+04 18.0 14.0
    474  1  1  240  231   6   3  6.99E-01 5.129E+04 18.0 14.0
    475  1  1  240  231   6   4  1.47E+00 8.760E+04 18.0 14.0
    476  1  1  240  231   6   5  3.64E+00 1.621E+05 18.0 14.0
    477  1  1  240  231   6   6  1.49E+01 3.887E+05 18.0 14.0
    478  1  1  240  231   6   7  0.00E+00 1.000E+30 18.0 14.0
    479  1  1  240  231   1   1  1.88E+01 4.052E+04 18.0 14.0
    480  1  1  240  231   1   2  0.00E+00 1.000E+30 18.0 14.0
    481  1  1  240  231   1   3 -1.33E-01 7.460E+04 18.0 14.0
    482  1  1  240  231   1   4 -2.11E-02 4.654E+04 18.0 14.0
    483  1  1  240  231   1   5 -7.01E-03 3.741E+04 18.0 14.0
    484  1  1  240  231   1   6 -3.22E-03 3.297E+04 18.0 14.0
    485  1  1  240  231   1   7 -1.77E-03 3.039E+04 18.0 14.0
    486  1  1  240  231   2   1  2.55E+00 2.626E+04 18.0 14.0
    487  1  1  240  231   2   2  1.66E+01 7.460E+04 18.0 14.0
    488  1  1  240  231   2   3  0.00E+00 1.000E+30 18.0 14.0
    489  1  1  240  231   2   4 -3.56E-01 1.237E+05 18.0 14.0
    490  1  1  240  231   2   5 -6.18E-02 7.502E+04 18.0 14.0
    491  1  1  240  231   2   6 -2.14E-02 5.908E+04 18.0 14.0
    492  1  1  240  231   2   7 -1.01E-02 5.129E+04 18.0 14.0
    493  1  1  240  231   3   1  8.17E-01 2.166E+04 18.0 14.0
    494  1  1  240  231   3   2  3.20E+00 4.654E+04 18.0 14.0
    495  1  1  240  231   3   3  1.55E+01 1.237E+05 18.0 14.0
    496  1  1  240  231   3   4  0.00E+00 1.000E+30 18.0 14.0
    497  1  1  240  231   3   5 -6.46E-01 1.906E+05 18.0 14.0
    498  1  1  240  231   3   6 -1.18E-01 1.131E+05 18.0 14.0
    499  1  1  240  231   3   7 -4.22E-02 8.760E+04 18.0 14.0
    500  1  1  240  231   4   1  3.72E-01 1.945E+04 18.0 14.0
    501  1  1  240  231   4   2  1.18E+00 3.741E+04 18.0 14.0
    502  1  1  240  231   4   3  3.43E+00 7.502E+04 18.0 14.0
    503  1  1  240  231   4   4  1.51E+01 1.906E+05 18.0 14.0
    504  1  1  240  231   4   5  0.00E+00 1.000E+30 18.0 14.0
    505  1  1  240  231   4   6 -9.83E-01 2.780E+05 18.0 14.0
    506  1  1  240  231   4   7 -1.88E-01 1.621E+05 18.0 14.0
    507  1  1  240  231   5   1  2.04E-01 1.818E+04 18.0 14.0
    508  1  1  240  231   5   2  5.81E-01 3.297E+04 18.0 14.0
    509  1  1  240  231   5   3  1.36E+00 5.908E+04 18.0 14.0
    510  1  1  240  231   5   4  3.55E+00 1.131E+05 18.0 14.0
    511  1  1  240  231   5   5  1.49E+01 2.780E+05 18.0 14.0
    512  1  1  240  231   5   6  0.00E+00 1.000E+30 18.0 14.0
    513  1  1  240  231   5   7 -1.36E+00 3.887E+05 18.0 14.0
    514  1  1  240  231   6   1  1.26E-01 1.737E+04 18.0 14.0
    515  1  1  240  231   6   2  3.34E-01 3.039E+04 18.0 14.0
    516  1  1  240  231   6   3  6.99E-01 5.129E+04 18.0 14.0
    517  1  1  240  231   6   4  1.47E+00 8.760E+04 18.0 14.0
    518  1  1  240  231   6   5  3.64E+00 1.621E+05 18.0 14.0
    519  1  1  240  231   6   6  1.49E+01 3.887E+05 18.0 14.0
    520  1  1  240  231   6   7  0.00E+00 1.000E+30 18.0 14.0
    521  1  1  251  240   1   1  3.02E+01 7.460E+04 22.0 18.0
    522  1  1  251  240   1   2  0.00E+00 1.000E+30 22.0 18.0
    523  1  1  251  240   1   3 -1.39E-01 1.237E+05 22.0 18.0
    524  1  1  251  240   1   4 -1.98E-02 7.502E+04 22.0 18.0
    525  1  1  251  240   1   5 -6.12E-03 5.908E+04 22.0 18.0
    526  1  1  251  240   1   6 -2.67E-03 5.129E+04 22.0 18.0
    527  1  1  251  240   2   1  3.63E+00 4.654E+04 22.0 18.0
    528  1  1  251  240   2   2  2.69E+01 1.237E+05 22.0 18.0
    529  1  1  251  240   2   3  0.00E+00 1.000E+30 22.0 18.0
    530  1  1  251  240   2   4 -3.78E-01 1.906E+05 22.0 18.0
    531  1  1  251  240   2   5 -6.00E-02 1.131E+05 22.0 18.0
    532  1  1  251  240   2   6 -1.96E-02 8.760E+04 22.0 18.0
    533  1  1  251  240   3   1  1.08E+00 3.741E+04 22.0 18.0
    534  1  1  251  240   3   2  4.78E+00 7.502E+04 22.0 18.0
    535  1  1  251  240   3   3  2.51E+01 1.906E+05 22.0 18.0
    536  1  1  251  240   3   4  0.00E+00 1.000E+30 22.0 18.0
    537  1  1  251  240   3   5 -6.94E-01 2.780E+05 22.0 18.0
    538  1  1  251  240   3   6 -1.18E-01 1.621E+05 22.0 18.0
    539  1  1  251  240   4   1  4.67E-01 3.297E+04 22.0 18.0
    540  1  1  251  240   4   2  1.67E+00 5.908E+04 22.0 18.0
    541  1  1  251  240   4   3  5.24E+00 1.131E+05 22.0 18.0
    542  1  1  251  240   4   4  2.41E+01 2.780E+05 22.0 18.0
    543  1  1  251  240   4   5  0.00E+00 1.000E+30 22.0 18.0
    544  1  1  251  240   4   6 -1.07E+00 3.887E+05 22.0 18.0
    545  1  1  251  240   5   1  2.48E-01 3.039E+04 22.0 18.0
    546  1  1  251  240   5   2  7.92E-01 5.129E+04 22.0 18.0
    547  1  1  251  240   5   3  2.00E+00 8.760E+04 22.0 18.0
    548  1  1  251  240   5   4  5.46E+00 1.621E+05 22.0 18.0
    549  1  1  251  240   5   5  2.35E+01 3.887E+05 22.0 18.0
    550  1  1  251  240   5   6  0.00E+00 1.000E+30 22.0 18.0
    551  1  1  251  240   1   1  3.02E+01 7.460E+04 22.0 18.0
    552  1  1  251  240   1   2  0.00E+00 1.000E+30 22.0 18.0
    553  1  1  251  240   1   3 -1.39E-01 1.237E+05 22.0 18.0
    554  1  1  251  240   1   4 -1.98E-02 7.502E+04 22.0 18.0
    555  1  1  251  240   1   5 -6.12E-03 5.908E+04 22.0 18.0
    556  1  1  251  240   1   6 -2.67E-03 5.129E+04 22.0 18.0
    557  1  1  251  240   2   1  3.63E+00 4.654E+04 22.0 18.0
    558  1  1  251  240   2   2  2.69E+01 1.237E+05 22.0 18.0
    559  1  1  251  240   2   3  0.00E+00 1.000E+30 22.0 18.0
    560  1  1  251  240   2   4 -3.78E-01 1.906E+05 22.0 18.0
    561  1  1  251  240   2   5 -6.00E-02 1.131E+05 22.0 18.0
    562  1  1  251  240   2   6 -1.96E-02 8.760E+04 22.0 18.0
    563  1  1  251  240   3   1  1.08E+00 3.741E+04 22.0 18.0
    564  1  1  251  240   3   2  4.78E+00 7.502E+04 22.0 18.0
    565  1  1  251  240   3   3  2.51E+01 1.906E+05 22.0 18.0
    566  1  1  251  240   3   4  0.00E+00 1.000E+30 22.0 18.0
    567  1  1  251  240   3   5 -6.94E-01 2.780E+05 22.0 18.0
    568  1  1  251  240   3   6 -1.18E-01 1.621E+05 22.0 18.0
    569  1  1  251  240   4   1  4.67E-01 3.297E+04 22.0 18.0
    570  1  1  251  240   4   2  1.67E+00 5.908E+04 22.0 18.0
    571  1  1  251  240   4   3  5.24E+00 1.131E+05 22.0 18.0
    572  1  1  251  240   4   4  2.41E+01 2.780E+05 22.0 18.0
    573  1  1  251  240   4   5  0.00E+00 1.000E+30 22.0 18.0
    574  1  1  251  240   4   6 -1.07E+00 3.887E+05 22.0 18.0
    575  1  1  251  240   5   1  2.48E-01 3.039E+04 22.0 18.0
    576  1  1  251  240   5   2  7.92E-01 5.129E+04 22.0 18.0
    577  1  1  251  240   5   3  2.00E+00 8.760E+04 22.0 18.0
    578  1  1  251  240   5   4  5.46E+00 1.621E+05 22.0 18.0
    579  1  1  251  240   5   5  2.35E+01 3.887E+05 22.0 18.0
    580  1  1  251  240   5   6  0.00E+00 1.000E+30 22.0 18.0
    581  1  1  260  251   1   1  4.42E+01 1.237E+05 26.0 22.0
    582  1  1  260  251   1   2  0.00E+00 1.000E+30 26.0 22.0
    583  1  1  260  251   1   3 -1.42E-01 1.906E+05 26.0 22.0
    584  1  1  260  251   1   4 -1.85E-02 1.131E+05 26.0 22.0
    585  1  1  260  251   1   5 -5.32E-03 8.760E+04 26.0 22.0
    586  1  1  260  251   2   1  4.77E+00 7.502E+04 26.0 22.0
    587  1  1  260  251   2   2  3.97E+01 1.906E+05 26.0 22.0
    588  1  1  260  251   2   3  0.00E+00 1.000E+30 26.0 22.0
    589  1  1  260  251   2   4 -3.94E-01 2.780E+05 26.0 22.0
    590  1  1  260  251   2   5 -5.76E-02 1.621E+05 26.0 22.0
    591  1  1  260  251   3   1  1.32E+00 5.908E+04 26.0 22.0
    592  1  1  260  251   3   2  6.55E+00 1.131E+05 26.0 22.0
    593  1  1  260  251   3   3  3.71E+01 2.780E+05 26.0 22.0
    594  1  1  260  251   3   4  0.00E+00 1.000E+30 26.0 22.0
    595  1  1  260  251   3   5 -7.30E-01 3.887E+05 26.0 22.0
    596  1  1  260  251   4   1  5.40E-01 5.129E+04 26.0 22.0
    597  1  1  260  251   4   2  2.17E+00 8.760E+04 26.0 22.0
    598  1  1  260  251   4   3  7.32E+00 1.621E+05 26.0 22.0
    599  1  1  260  251   4   4  3.55E+01 3.887E+05 26.0 22.0
    600  1  1  260  251   4   5  0.00E+00 1.000E+30 26.0 22.0
    601  1  1  260  251   1   1  4.42E+01 1.237E+05 26.0 22.0
    602  1  1  260  251   1   2  0.00E+00 1.000E+30 26.0 22.0
    603  1  1  260  251   1   3 -1.42E-01 1.906E+05 26.0 22.0
    604  1  1  260  251   1   4 -1.85E-02 1.131E+05 26.0 22.0
    605  1  1  260  251   1   5 -5.32E-03 8.760E+04 26.0 22.0
    606  1  1  260  251   2   1  4.77E+00 7.502E+04 26.0 22.0
    607  1  1  260  251   2   2  3.97E+01 1.906E+05 26.0 22.0
    608  1  1  260  251   2   3  0.00E+00 1.000E+30 26.0 22.0
    609  1  1  260  251   2   4 -3.94E-01 2.780E+05 26.0 22.0
    610  1  1  260  251   2   5 -5.76E-02 1.621E+05 26.0 22.0
    611  1  1  260  251   3   1  1.32E+00 5.908E+04 26.0 22.0
    612  1  1  260  251   3   2  6.55E+00 1.131E+05 26.0 22.0
    613  1  1  260  251   3   3  3.71E+01 2.780E+05 26.0 22.0
    614  1  1  260  251   3   4  0.00E+00 1.000E+30 26.0 22.0
    615  1  1  260  251   3   5 -7.30E-01 3.887E+05 26.0 22.0
    616  1  1  260  251   4   1  5.40E-01 5.129E+04 26.0 22.0
    617  1  1  260  251   4   2  2.17E+00 8.760E+04 26.0 22.0
    618  1  1  260  251   4   3  7.32E+00 1.621E+05 26.0 22.0
    619  1  1  260  251   4   4  3.55E+01 3.887E+05 26.0 22.0
    620  1  1  260  251   4   5  0.00E+00 1.000E+30 26.0 22.0
    621  1  1  271  260   1   1  6.08E+01 1.906E+05 30.0 26.0
    622  1  1  271  260   1   2  0.00E+00 1.000E+30 30.0 26.0
    623  1  1  271  260   1   3 -1.46E-01 2.780E+05 30.0 26.0
    624  1  1  271  260   1   4 -1.73E-02 1.621E+05 30.0 26.0
    625  1  1  271  260   2   1  5.95E+00 1.131E+05 30.0 26.0
    626  1  1  271  260   2   2  5.52E+01 2.780E+05 30.0 26.0
    627  1  1  271  260   2   3  0.00E+00 1.000E+30 30.0 26.0
    628  1  1  271  260   2   4 -4.06E-01 3.887E+05 30.0 26.0
    629  1  1  271  260   3   1  1.53E+00 8.760E+04 30.0 26.0
    630  1  1  271  260   3   2  8.46E+00 1.621E+05 30.0 26.0
    631  1  1  271  260   3   3  5.16E+01 3.887E+05 30.0 26.0
    632  1  1  271  260   3   4  0.00E+00 1.000E+30 30.0 26.0
    633  1  1  271  260   1   1  6.08E+01 1.906E+05 30.0 26.0
    634  1  1  271  260   1   2  0.00E+00 1.000E+30 30.0 26.0
    635  1  1  271  260   1   3 -1.46E-01 2.780E+05 30.0 26.0
    636  1  1  271  260   1   4 -1.73E-02 1.621E+05 30.0 26.0
    637  1  1  271  260   2   1  5.95E+00 1.131E+05 30.0 26.0
    638  1  1  271  260   2   2  5.52E+01 2.780E+05 30.0 26.0
    639  1  1  271  260   2   3  0.00E+00 1.000E+30 30.0 26.0
    640  1  1  271  260   2   4 -4.06E-01 3.887E+05 30.0 26.0
    641  1  1  271  260   3   1  1.53E+00 8.760E+04 30.0 26.0
    642  1  1  271  260   3   2  8.46E+00 1.621E+05 30.0 26.0
    643  1  1  271  260   3   3  5.16E+01 3.887E+05 30.0 26.0
    644  1  1  271  260   3   4  0.00E+00 1.000E+30 30.0 26.0
    645  1  1  280  271   1   1  8.02E+01 2.780E+05 34.0 30.0
    646  1  1  280  271   1   2  0.00E+00 1.000E+30 34.0 30.0
    647  1  1  280  271   1   3 -1.48E-01 3.887E+05 34.0 30.0
    648  1  1  280  271   2   1  7.16E+00 1.621E+05 34.0 30.0
    649  1  1  280  271   2   2  7.33E+01 3.887E+05 34.0 30.0
    650  1  1  280  271   2   3  0.00E+00 1.000E+30 34.0 30.0
    651  1  1  280  271   1   1  8.02E+01 2.780E+05 34.0 30.0
    652  1  1  280  271   1   2  0.00E+00 1.000E+30 34.0 30.0
    653  1  1  280  271   1   3 -1.48E-01 3.887E+05 34.0 30.0
    654  1  1  280  271   2   1  7.16E+00 1.621E+05 34.0 30.0
    655  1  1  280  271   2   2  7.33E+01 3.887E+05 34.0 30.0
    656  1  1  280  271   2   3  0.00E+00 1.000E+30 34.0 30.0
    657  1  1  291  280   1   1  1.02E+02 3.887E+05 38.0 34.0
    658  1  1  291  280   1   2  0.00E+00 1.000E+30 38.0 34.0
    659  1  1  291  280   1   1  1.02E+02 3.887E+05 38.0 34.0
    660  1  1  291  280   1   2  0.00E+00 1.000E+30 38.0 34.0
    661  2  1  211  200   1   1  8.32E-01 3.038E+02  6.0  2.0
    662  2  1  211  200   1   2  0.00E+00 1.000E+30  6.0  2.0
    663  2  1  211  200   1   3 -8.15E-02 1.641E+03  6.0  2.0
    664  2  1  211  200   1   4 -1.83E-02 1.215E+03  6.0  2.0
    665  2  1  211  200   1   5 -7.28E-03 1.085E+03  6.0  2.0
    666  2  1  211  200   1   6 -3.71E-03 1.025E+03  6.0  2.0
    667  2  1  211  200   1   7 -2.17E-03 9.924E+02  6.0  2.0
    668  2  1  211  200   1   8 -1.38E-03 9.722E+02  6.0  2.0
    669  2  1  211  200   1   9 -9.42E-04 9.587E+02  6.0  2.0
    670  2  1  211  200   1  10 -6.71E-04 9.494E+02  6.0  2.0
    671  2  1  211  200   2   1  1.58E-01 2.563E+02  6.0  2.0
    672  2  1  211  200   2   2  8.70E-01 1.641E+03  6.0  2.0
    673  2  1  211  200   2   3  0.00E+00 1.000E+30  6.0  2.0
    674  2  1  211  200   2   4 -1.93E-01 4.687E+03  6.0  2.0
    675  2  1  211  200   2   5 -4.46E-02 3.204E+03  6.0  2.0
    676  2  1  211  200   2   6 -1.82E-02 2.734E+03  6.0  2.0
    677  2  1  211  200   2   7 -9.47E-03 2.512E+03  6.0  2.0
    678  2  1  211  200   2   8 -5.65E-03 2.386E+03  6.0  2.0
    679  2  1  211  200   2   9 -3.67E-03 2.307E+03  6.0  2.0
    680  2  1  211  200   2  10 -2.54E-03 2.253E+03  6.0  2.0
    681  2  1  211  200   3   1  5.80E-02 2.430E+02  6.0  2.0
    682  2  1  211  200   3   2  2.06E-01 1.215E+03  6.0  2.0
    683  2  1  211  200   3   3  9.69E-01 4.687E+03  6.0  2.0
    684  2  1  211  200   3   4  0.00E+00 1.000E+30  6.0  2.0
    685  2  1  211  200   3   5 -3.17E-01 1.013E+04  6.0  2.0
    686  2  1  211  200   3   6 -7.40E-02 6.562E+03  6.0  2.0
    687  2  1  211  200   3   7 -3.06E-02 5.413E+03  6.0  2.0
    688  2  1  211  200   3   8 -1.61E-02 4.861E+03  6.0  2.0
    689  2  1  211  200   3   9 -9.70E-03 4.543E+03  6.0  2.0
    690  2  1  211  200   3  10 -6.37E-03 4.340E+03  6.0  2.0
    691  2  1  211  200   4   1  2.79E-02 2.373E+02  6.0  2.0
    692  2  1  211  200   4   2  8.39E-02 1.085E+03  6.0  2.0
    693  2  1  211  200   4   3  2.42E-01 3.204E+03  6.0  2.0
    694  2  1  211  200   4   4  1.09E+00 1.013E+04  6.0  2.0
    695  2  1  211  200   4   5  0.00E+00 1.000E+30  6.0  2.0
    696  2  1  211  200   4   6 -4.47E-01 1.864E+04  6.0  2.0
    697  2  1  211  200   4   7 -1.05E-01 1.163E+04  6.0  2.0
    698  2  1  211  200   4   8 -4.36E-02 9.348E+03  6.0  2.0
    699  2  1  211  200   4   9 -2.31E-02 8.239E+03  6.0  2.0
    700  2  1  211  200   4  10 -1.40E-02 7.595E+03  6.0  2.0
    701  2  1  211  200   5   1  1.56E-02 2.344E+02  6.0  2.0
    702  2  1  211  200   5   2  4.33E-02 1.025E+03  6.0  2.0
    703  2  1  211  200   5   3  1.03E-01 2.734E+03  6.0  2.0
    704  2  1  211  200   5   4  2.76E-01 6.562E+03  6.0  2.0
    705  2  1  211  200   5   5  1.22E+00 1.864E+04  6.0  2.0
    706  2  1  211  200   5   6  0.00E+00 1.000E+30  6.0  2.0
    707  2  1  211  200   5   7 -5.80E-01 3.092E+04  6.0  2.0
    708  2  1  211  200   5   8 -1.37E-01 1.875E+04  6.0  2.0
    709  2  1  211  200   5   9 -5.70E-02 1.476E+04  6.0  2.0
    710  2  1  211  200   5  10 -3.03E-02 1.282E+04  6.0  2.0
    711  2  1  211  200   6   1  9.63E-03 2.326E+02  6.0  2.0
    712  2  1  211  200   6   2  2.55E-02 9.924E+02  6.0  2.0
    713  2  1  211  200   6   3  5.47E-02 2.512E+03  6.0  2.0
    714  2  1  211  200   6   4  1.19E-01 5.413E+03  6.0  2.0
    715  2  1  211  200   6   5  3.10E-01 1.163E+04  6.0  2.0
    716  2  1  211  200   6   6  1.35E+00 3.092E+04  6.0  2.0
    717  2  1  211  200   6   7  0.00E+00 1.000E+30  6.0  2.0
    718  2  1  211  200   6   8 -7.15E-01 4.764E+04  6.0  2.0
    719  2  1  211  200   6   9 -1.69E-01 2.826E+04  6.0  2.0
    720  2  1  211  200   6  10 -7.06E-02 2.189E+04  6.0  2.0
    721  2  1  211  200   7   1  6.37E-03 2.315E+02  6.0  2.0
    722  2  1  211  200   7   2  1.64E-02 9.722E+02  6.0  2.0
    723  2  1  211  200   7   3  3.31E-02 2.386E+03  6.0  2.0
    724  2  1  211  200   7   4  6.45E-02 4.861E+03  6.0  2.0
    725  2  1  211  200   7   5  1.35E-01 9.348E+03  6.0  2.0
    726  2  1  211  200   7   6  3.43E-01 1.875E+04  6.0  2.0
    727  2  1  211  200   7   7  1.48E+00 4.764E+04  6.0  2.0
    728  2  1  211  200   7   8  0.00E+00 1.000E+30  6.0  2.0
    729  2  1  211  200   7   9 -8.52E-01 6.948E+04  6.0  2.0
    730  2  1  211  200   7  10 -2.01E-01 4.051E+04  6.0  2.0
    731  2  1  211  200   8   1  4.43E-03 2.307E+02  6.0  2.0
    732  2  1  211  200   8   2  1.12E-02 9.587E+02  6.0  2.0
    733  2  1  211  200   8   3  2.17E-02 2.307E+03  6.0  2.0
    734  2  1  211  200   8   4  3.96E-02 4.543E+03  6.0  2.0
    735  2  1  211  200   8   5  7.35E-02 8.239E+03  6.0  2.0
    736  2  1  211  200   8   6  1.50E-01 1.476E+04  6.0  2.0
    737  2  1  211  200   8   7  3.76E-01 2.826E+04  6.0  2.0
    738  2  1  211  200   8   8  1.62E+00 6.948E+04  6.0  2.0
    739  2  1  211  200   8   9  0.00E+00 1.000E+30  6.0  2.0
    740  2  1  211  200   8  10 -9.89E-01 9.714E+04  6.0  2.0
    741  2  1  211  200   9   1  3.21E-03 2.301E+02  6.0  2.0
