 ============================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi     EQN
 ============================================================================
     66  6  2  111   1 1s 2p           -6.18527E+00  2.25903E+01  3.0  2.0104
     67  6  2  111   2 1s 3p           -2.76025E+00  2.60154E+01  3.0  3.0095
     68  6  2  111   3 1s 4p           -1.55546E+00  2.72201E+01  3.0  4.0090
     69  6  2  111   4 1s 5p           -9.96497E-01  2.77791E+01  3.0  5.0088
     70  6  2  111   5 1s 6p           -6.92441E-01  2.80832E+01  3.0  6.0087
     71  6  2  111   6 1s 7p           -5.08949E-01  2.82667E+01  3.0  7.0086
     72  6  2  111   7 1s 8p           -3.89787E-01  2.83858E+01  3.0  8.0086
     73  6  2  111   8 1s 9p           -3.08055E-01  2.84675E+01  3.0  9.0086
     74  6  2  111   9 1s10p           -2.49573E-01  2.85260E+01  3.0 10.0086
     75  6  2  120   1 1s 3d           -2.77808E+00  2.59975E+01  5.0  2.9998
     76  6  2  120   2 1s 4d           -1.56259E+00  2.72130E+01  5.0  3.9999
     77  6  2  120   3 1s 5d           -1.00006E+00  2.77755E+01  5.0  4.9999
     78  6  2  120   4 1s 6d           -6.94469E-01  2.80811E+01  5.0  5.9999
     79  6  2  120   5 1s 7d           -5.10216E-01  2.82654E+01  5.0  6.9999
     80  6  2  120   6 1s 8d           -3.90632E-01  2.83850E+01  5.0  7.9999
     81  6  2  120   7 1s 9d           -3.08647E-01  2.84670E+01  5.0  8.9999
     82  6  2  120   8 1s10d           -2.50004E-01  2.85256E+01  5.0  9.9999
     83  6  2  300   1 1s 2s           -6.84123E+00  2.19344E+01  3.0  1.9116
     84  6  2  300   2 1s 3s           -2.94079E+00  2.58348E+01  3.0  2.9157
     85  6  2  300   3 1s 4s           -1.62945E+00  2.71462E+01  3.0  3.9170
     86  6  2  300   4 1s 5s           -1.03381E+00  2.77418E+01  3.0  4.9176
     87  6  2  300   5 1s 6s           -7.13860E-01  2.80617E+01  3.0  5.9178
     88  6  2  300   6 1s 7s           -5.22370E-01  2.82532E+01  3.0  6.9180
     89  6  2  300   7 1s 8s           -3.98746E-01  2.83769E+01  3.0  7.9181
     90  6  2  300   8 1s 9s           -3.14331E-01  2.84613E+01  3.0  8.9182
     91  6  2  300   9 1s10s           -2.54139E-01  2.85215E+01  3.0  9.9182
     92  6  2  311   1 1s 2p           -6.44318E+00  2.23324E+01  9.0  1.9698
     93  6  2  311   2 1s 3p           -2.83309E+00  2.59425E+01  9.0  2.9706
     94  6  2  311   3 1s 4p           -1.58560E+00  2.71900E+01  9.0  3.9708
     95  6  2  311   4 1s 5p           -1.01179E+00  2.77638E+01  9.0  4.9708
     96  6  2  311   5 1s 6p           -7.01241E-01  2.80744E+01  9.0  5.9709
     97  6  2  311   6 1s 7p           -5.14472E-01  2.82611E+01  9.0  6.9709
     98  6  2  311   7 1s 8p           -3.93478E-01  2.83821E+01  9.0  7.9709
     99  6  2  311   8 1s 9p           -3.10643E-01  2.84650E+01  9.0  8.9710
    100  6  2  311   9 1s10p           -2.51457E-01  2.85241E+01  9.0  9.9710
    101  6  2  320   1 1s 3d           -2.78014E+00  2.59955E+01 15.0  2.9987
    102  6  2  320   2 1s 4d           -1.56373E+00  2.72119E+01 15.0  3.9984
    103  6  2  320   3 1s 5d           -1.00070E+00  2.77749E+01 15.0  4.9983
    104  6  2  320   4 1s 6d           -6.94856E-01  2.80807E+01 15.0  5.9982
    105  6  2  320   5 1s 7d           -5.10466E-01  2.82651E+01 15.0  6.9982
    106  6  2  320   6 1s 8d           -3.90803E-01  2.83848E+01 15.0  7.9982
    107  6  2  320   7 1s 9d           -3.08768E-01  2.84668E+01 15.0  8.9982
    108  6  2  320   8 1s10d           -2.50093E-01  2.85255E+01 15.0  9.9981
    109  6  3  200   1 1s2 2s          -4.73567E+00  0.00000E+00  2.0  1.8381
    110  6  3  200   2 1s2 3s          -1.97910E+00  2.75657E+00  2.0  2.8433
    111  6  3  200   3 1s2 4s          -1.08232E+00  3.65335E+00  2.0  3.8449
    112  6  3  200   4 1s2 5s          -6.81451E-01  4.05422E+00  2.0  4.8455
    113  6  3  200   5 1s2 6s          -4.68185E-01  4.26749E+00  2.0  5.8459
    114  6  3  200   6 1s2 7s          -3.41376E-01  4.39429E+00  2.0  6.8461
    115  6  3  200   7 1s2 8s          -2.59894E-01  4.47578E+00  2.0  7.8462
    116  6  3  200   8 1s2 9s          -2.04453E-01  4.53122E+00  2.0  8.8463
    117  6  3  200   9 1s210s          -1.65031E-01  4.57064E+00  2.0  9.8464
    118  6  3  211   1 1s2 2p          -4.14785E+00  5.87820E-01  6.0  1.9640
    119  6  3  211   2 1s2 3p          -1.82214E+00  2.91353E+00  6.0  2.9633
    120  6  3  211   3 1s2 4p          -1.01876E+00  3.71691E+00  6.0  3.9630
    121  6  3  211   4 1s2 5p          -6.49614E-01  4.08606E+00  6.0  4.9629
    122  6  3  211   5 1s2 6p          -4.50009E-01  4.28566E+00  6.0  5.9628
    123  6  3  211   6 1s2 7p          -3.30034E-01  4.40564E+00  6.0  6.9627
    124  6  3  211   7 1s2 8p          -2.52347E-01  4.48332E+00  6.0  7.9627
    125  6  3  211   8 1s2 9p          -1.99179E-01  4.53649E+00  6.0  8.9627
    126  6  3  211   9 1s210p          -1.61201E-01  4.57447E+00  6.0  9.9627
