Free-Free Emission Gaunt factors as a function of 
scaled electron and photon energy.
v1.0.0, Sutherland 1997
 e (E_i/Z^2Ry)   w (hnu/Z^Ry)   gff(e,w)
--------------------------------------------
1.00000000E-06 1.00000000E-05 1.01111538E+00
1.00000000E-06 2.15443469E-05 1.00921643E+00
1.00000000E-06 4.64158883E-05 1.00881073E+00
1.00000000E-06 1.00000000E-04 1.00950936E+00
1.00000000E-06 2.15443469E-04 1.01113429E+00
1.00000000E-06 4.64158883E-04 1.01364784E+00
1.00000000E-06 1.00000000E-03 1.01711153E+00
1.00000000E-06 2.15443469E-03 1.02166176E+00
1.00000000E-06 4.64158883E-03 1.02749253E+00
1.00000000E-06 1.00000000E-02 1.03483640E+00
1.00000000E-06 2.15443469E-02 1.04393115E+00
1.00000000E-06 4.64158883E-02 1.05495159E+00
1.00000000E-06 1.00000000E-01 1.06786503E+00
1.00000000E-06 2.15443469E-01 1.08211623E+00
1.00000000E-06 4.64158883E-01 1.09586725E+00
1.00000000E-06 1.00000000E+00 1.10396279E+00
1.00000000E-06 2.15443469E+00 1.09431633E+00
